UTD;ZONA;TURMA;CARTEIRA;DATA_PEDIDO;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DIA_SEMANA;FLAG_DEF
CAMACARI;52;EPS;CORTE;2022-08-24;19;19;0;4;N
ITAPOAN;253;EPS;CORTE;2022-08-09;24;22;2;3;N
ILHEUS;186;EPS;RECORTE;2022-08-10;7;7;0;4;N
CONCEICAO DO COITE;72;STC;CORTE;2022-08-09;11;11;0;3;N
PITUBA;356;STC;RECORTE;2022-08-04;20;13;7;5;S
POSTO DA MATA;388;EPS;BAIXA;2022-08-05;8;8;0;6;N
IRECE;199;EPS;CORTE;2022-08-08;7;7;0;2;N
PAULO AFONSO;328;STC;CORTE;2022-08-02;11;11;0;3;N
JEQUIE;278;EPS;CORTE;2022-08-12;20;20;0;6;N
GUANAMBI;142;STC;CORTE;2022-08-12;16;16;0;6;N
ESPLANADA;79;STC;CORTE;2022-08-12;13;12;1;6;N
SANTO AMARO;420;EPS;RECORTE;2022-08-03;18;18;0;4;N
ESPLANADA;77;EPS;CORTE;2022-08-22;12;12;0;2;N
LAURO DE FREITAS;293;STC;CORTE;2022-08-02;48;40;8;3;N
VALENCA;491;STC;CORTE;2022-08-19;6;6;0;6;S
IRECE;203;EPS;RECORTE;2022-08-10;8;7;1;4;N
REMANSO;391;EPS;BAIXA;2022-08-11;13;13;0;5;N
JACOBINA;256;EPS;BAIXA;2022-08-04;5;4;1;5;N
SENHOR DO BONFIM;454;EPS;CORTE;2022-08-15;12;12;0;2;N
ESPLANADA;78;STC;CORTE;2022-08-22;5;5;0;2;S
JACOBINA;261;EPS;CORTE;2022-08-17;8;7;1;4;N
JACOBINA;262;STC;CORTE;2022-08-19;16;16;0;6;N
ALAGOINHAS;2;EPS;RECORTE;2022-08-03;15;15;0;4;N
IPIAU;527;EPS;BAIXA;2022-08-24;4;4;0;4;N
TEIXEIRA DE FREITAS;479;STC;RECORTE;2022-08-04;11;7;4;5;S
LAURO DE FREITAS;297;STC;RECORTE;2022-08-04;16;12;4;5;N
SEABRA;444;EPS;CORTE;2022-08-02;6;6;0;3;N
PAULO AFONSO;340;EPS;CORTE;2022-08-16;8;8;0;3;N
LUIS EDUARDO MAGALHAES;322;EPS;CORTE;2022-08-22;7;6;1;2;N
JUAZEIRO;287;STC;RECORTE;2022-08-24;2;1;1;4;N
CONCEICAO DO COITE;64;EPS;BAIXA;2022-08-18;2;2;0;5;N
VALENCA;490;EPS;CORTE;2022-08-19;14;14;0;6;N
JACOBINA;262;EPS;CORTE;2022-08-05;9;0;9;6;N
ITABUNA;230;STC;RECORTE;2022-08-24;21;16;5;4;N
ITABUNA;228;EPS;CORTE;2022-08-10;60;59;1;4;N
GUANAMBI;138;STC;CORTE;2022-08-11;16;16;0;5;N
PORTO SEGURO;370;EPS;BAIXA;2022-08-05;8;8;0;6;N
SANTO ANTONIO DE JESUS;434;EPS;CORTE;2022-08-02;12;10;2;3;N
JUAZEIRO;292;EPS;CORTE;2022-08-23;15;15;0;3;N
BRUMADO;44;EPS;DISJUNTOR;2022-08-02;5;4;1;3;N
GUANAMBI;152;STC;CORTE;2022-08-15;16;16;0;2;N
IBOTIRAMA;169;STC;CORTE;2022-08-23;16;15;1;3;N
ILHEUS;179;STC;CORTE;2022-08-09;11;11;0;3;N
SENHOR DO BONFIM;451;EPS;CORTE;2022-08-02;8;8;0;3;N
JACOBINA;261;EPS;RECORTE;2022-08-18;9;9;0;5;N
BARREIRAS;14;EPS;CORTE;2022-08-22;6;6;0;2;N
PAULO AFONSO;402;EPS;CORTE;2022-08-08;10;10;0;2;N
ITAPETINGA;245;STC;CORTE;2022-08-04;9;9;0;5;N
BARREIRAS;16;STC;CORTE;2022-08-12;15;14;1;6;N
PORTO SEGURO;375;EPS;CORTE;2022-08-18;10;9;1;5;N
BOM JESUS DA LAPA;27;EPS;CORTE;2022-08-04;7;7;0;5;N
IBOTIRAMA;155;STC;CORTE;2022-08-19;16;16;0;6;N
ITAPOAN;252;EPS;DISJUNTOR;2022-08-04;26;25;1;5;N
EUNAPOLIS;94;STC;RECORTE;2022-08-09;14;13;1;3;N
JACOBINA;258;STC;CORTE;2022-08-18;16;14;2;5;N
GRACA;137;EPS;BAIXA;2022-08-05;1;1;0;6;N
SERRINHA;463;EPS;CORTE;2022-08-17;7;7;0;4;N
VALENCA;486;EPS;CORTE;2022-08-18;6;5;1;5;N
SENHOR DO BONFIM;451;STC;CORTE;2022-08-16;11;11;0;3;N
ITAPOAN;253;EPS;RECORTE;2022-08-10;14;7;7;4;N
ITABUNA;230;EPS;BAIXA;2022-08-10;3;1;2;4;N
PIRAJA;354;EPS;CORTE;2022-08-19;14;14;0;6;N
JACOBINA;263;STC;RECORTE;2022-08-08;16;16;0;2;N
ILHEUS;183;STC;RECORTE;2022-08-09;13;5;8;3;S
SEABRA;444;EPS;RECORTE;2022-08-03;2;2;0;4;N
PAULO AFONSO;340;EPS;RECORTE;2022-08-17;9;9;0;4;N
IRECE;203;EPS;BAIXA;2022-08-10;3;3;0;4;N
ILHEUS;177;EPS;CORTE;2022-08-19;10;10;0;6;N
SANTO AMARO;425;EPS;CORTE;2022-08-16;11;11;0;3;N
PAULO AFONSO;338;STC;CORTE;2022-08-05;7;0;7;6;N
GRACA;135;EPS;CORTE;2022-08-05;100;0;100;6;N
FEIRA DE SANTANA SUL;125;STC;CORTE;2022-08-15;1;0;1;2;N
GUANAMBI;150;EPS;CORTE;2022-08-25;4;0;4;5;N
ALAGOINHAS;3;EPS;CORTE;2022-08-15;10;10;0;2;N
VITORIA DA CONQUISTA;503;EPS;DISJUNTOR;2022-08-23;30;29;1;3;N
LUIS EDUARDO MAGALHAES;320;EPS;CORTE;2022-08-23;8;7;1;3;N
PITUBA;357;EPS;CORTE;2022-08-04;22;20;2;5;N
EUNAPOLIS;99;STC;CORTE;2022-08-22;14;14;0;2;N
VITORIA DA CONQUISTA;502;EPS;CORTE;2022-08-03;22;22;0;4;N
LUIS EDUARDO MAGALHAES;321;EPS;CORTE;2022-08-11;7;7;0;5;N
PITUBA;356;EPS;CORTE;2022-08-16;36;32;4;3;N
VITORIA DA CONQUISTA;501;EPS;CORTE;2022-08-15;14;14;0;2;N
PITUBA;357;STC;CORTE;2022-08-18;19;19;0;5;N
RIBEIRA DO POMBAL;399;EPS;CORTE;2022-08-12;10;10;0;6;N
SANTO AMARO;423;STC;CORTE;2022-08-03;19;19;0;4;S
ITABERABA;213;EPS;CORTE;2022-08-04;6;6;0;5;N
ITABUNA;225;STC;CORTE;2022-08-11;16;15;1;5;N
GRACA;130;EPS;CORTE;2022-08-16;21;18;3;3;N
AMARGOSA;11;EPS;DISJUNTOR;2022-08-12;4;4;0;6;N
SANTO AMARO;423;EPS;DISJUNTOR;2022-08-23;8;8;0;3;N
CANDEIAS;533;EPS;DISJUNTOR;2022-08-19;20;19;1;6;N
BRUMADO;37;STC;CORTE;2022-08-19;10;10;0;6;N
JACOBINA;261;EPS;BAIXA;2022-08-18;2;1;1;5;N
EUNAPOLIS;88;EPS;RECORTE;2022-08-18;3;3;0;5;N
ITAPETINGA;245;STC;RECORTE;2022-08-03;7;3;4;4;S
ITAPOAN;253;EPS;BAIXA;2022-08-10;6;2;4;4;N
ILHEUS;178;STC;RECORTE;2022-08-22;21;14;7;2;N
JUAZEIRO;288;EPS;CORTE;2022-08-22;5;5;0;2;N
ILHEUS;187;EPS;CORTE;2022-08-22;4;4;0;2;N
PITUBA;359;EPS;DISJUNTOR;2022-08-12;2;2;0;6;N
SANTA MARIA DA VITORIA;411;STC;CORTE;2022-08-09;11;11;0;3;N
PORTO SEGURO;373;EPS;DISJUNTOR;2022-08-25;29;0;29;5;N
JACOBINA;255;EPS;CORTE;2022-08-17;8;8;0;4;N
LUIS EDUARDO MAGALHAES;323;STC;RECORTE;2022-08-02;13;12;1;3;N
PERIPERI;348;EPS;CORTE;2022-08-16;26;25;1;3;N
VITORIA DA CONQUISTA;499;STC;CORTE;2022-08-04;11;11;0;5;N
ALAGOINHAS;1;STC;CORTE;2022-08-04;27;26;1;5;N
IRECE;193;EPS;CORTE;2022-08-08;42;39;3;2;N
CANDEIAS;59;EPS;CORTE;2022-08-12;18;17;1;6;N
IRECE;201;STC;CORTE;2022-08-23;10;10;0;3;N
RIBEIRA DO POMBAL;409;EPS;CORTE;2022-08-15;10;10;0;2;N
CANDEIAS;58;EPS;CORTE;2022-08-24;38;36;2;4;N
CAMACARI;52;STC;RECORTE;2022-08-16;13;7;6;3;N
PERIPERI;349;EPS;CORTE;2022-08-04;15;12;3;5;N
LUIS EDUARDO MAGALHAES;318;STC;CORTE;2022-08-12;11;11;0;6;N
ITAPETINGA;237;STC;CORTE;2022-08-02;9;9;0;3;N
PITUBA;356;EPS;RECORTE;2022-08-17;13;13;0;4;N
CAMACARI;50;EPS;DISJUNTOR;2022-08-08;30;29;1;2;N
FEIRA DE SANTANA NORTE;116;EPS;CORTE;2022-08-22;17;17;0;2;N
REMANSO;391;STC;CORTE;2022-08-24;12;12;0;4;S
REMANSO;393;STC;CORTE;2022-08-02;9;9;0;3;N
LIVRAMENTO DE NOSSA SENHORA;309;EPS;CORTE;2022-08-18;6;5;1;5;N
SANTO ANTONIO DE JESUS;428;EPS;RECORTE;2022-08-24;2;2;0;4;S
SANTO AMARO;422;STC;RECORTE;2022-08-18;21;17;4;5;N
CONCEICAO DO COITE;68;EPS;DISJUNTOR;2022-08-03;4;4;0;4;N
ITAPETINGA;249;EPS;CORTE;2022-08-16;10;9;1;3;N
BARREIRAS;13;EPS;CORTE;2022-08-11;6;6;0;5;N
GRACA;132;STC;RECORTE;2022-08-05;11;3;8;6;S
TEIXEIRA DE FREITAS;475;EPS;CORTE;2022-08-15;9;9;0;2;N
LUIS EDUARDO MAGALHAES;320;EPS;RECORTE;2022-08-24;5;5;0;4;N
JACOBINA;256;EPS;CORTE;2022-08-05;9;0;9;6;N
FEIRA DE SANTANA NORTE;108;STC;RECORTE;2022-08-10;3;0;3;4;N
EUNAPOLIS;88;EPS;BAIXA;2022-08-18;1;0;1;5;N
BOM JESUS DA LAPA;29;STC;CORTE;2022-08-19;9;9;0;6;N
SANTA MARIA DA VITORIA;417;STC;CORTE;2022-08-11;11;11;0;5;N
PERIPERI;347;EPS;DISJUNTOR;2022-08-11;44;39;5;5;N
GRACA;136;EPS;CORTE;2022-08-18;63;55;8;5;N
SANTA MARIA DA VITORIA;416;STC;CORTE;2022-08-23;16;16;0;3;N
JACOBINA;255;EPS;RECORTE;2022-08-18;9;8;1;5;N
IBOTIRAMA;164;STC;CORTE;2022-08-11;9;9;0;5;N
JEQUIE;282;EPS;CORTE;2022-08-15;15;15;0;2;N
IPIAU;526;STC;CORTE;2022-08-02;13;13;0;3;N
ILHEUS;173;STC;CORTE;2022-08-09;21;19;2;3;N
CANDEIAS;58;EPS;RECORTE;2022-08-25;28;15;13;5;N
ITAPETINGA;245;EPS;CORTE;2022-08-15;12;12;0;2;N
LAURO DE FREITAS;296;EPS;CORTE;2022-08-03;14;14;0;4;N
RIBEIRA DO POMBAL;406;STC;CORTE;2022-08-16;11;11;0;3;N
VITORIA DA CONQUISTA;513;STC;RECORTE;2022-08-09;17;10;7;3;N
LIVRAMENTO DE NOSSA SENHORA;311;STC;RECORTE;2022-08-09;11;10;1;3;N
SERRINHA;463;STC;RECORTE;2022-08-09;9;7;2;3;N
BOM JESUS DA LAPA;23;EPS;BAIXA;2022-08-04;6;6;0;5;N
TEIXEIRA DE FREITAS;480;EPS;BAIXA;2022-08-05;1;1;0;6;N
ITABERABA;218;EPS;CORTE;2022-08-18;3;3;0;5;N
RIBEIRA DO POMBAL;410;EPS;RECORTE;2022-08-04;7;6;1;5;N
FEIRA DE SANTANA NORTE;113;STC;CORTE;2022-08-23;1;1;0;3;N
ITABUNA;230;STC;CORTE;2022-08-25;21;21;0;5;N
JEQUIE;268;STC;CORTE;2022-08-25;11;11;0;5;N
ITABUNA;229;EPS;CORTE;2022-08-23;14;13;1;3;N
CONCEICAO DO COITE;74;EPS;CORTE;2022-08-22;2;2;0;2;N
ALAGOINHAS;4;EPS;BAIXA;2022-08-04;7;6;1;5;N
IBOTIRAMA;163;EPS;CORTE;2022-08-09;10;10;0;3;N
REMANSO;390;EPS;RECORTE;2022-08-25;1;1;0;5;N
LIVRAMENTO DE NOSSA SENHORA;306;EPS;CORTE;2022-08-05;4;0;4;6;N
SERRINHA;458;EPS;CORTE;2022-08-05;15;0;15;6;N
BARREIRAS;20;STC;CORTE;2022-08-15;15;15;0;2;N
LAURO DE FREITAS;293;EPS;DISJUNTOR;2022-08-22;17;17;0;2;N
FEIRA DE SANTANA SUL;128;EPS;CORTE;2022-08-16;18;18;0;3;N
SANTO ANTONIO DE JESUS;432;STC;CORTE;2022-08-16;26;24;2;3;N
JUAZEIRO;284;STC;CORTE;2022-08-12;14;14;0;6;N
LAURO DE FREITAS;293;STC;CORTE;2022-08-04;16;15;1;5;N
REMANSO;389;STC;RECORTE;2022-08-02;17;15;2;3;N
VITORIA DA CONQUISTA;518;EPS;CORTE;2022-08-08;20;20;0;2;N
PAULO AFONSO;328;STC;CORTE;2022-08-04;11;9;2;5;N
SANTO ANTONIO DE JESUS;435;STC;DISJUNTOR;2022-08-10;15;14;1;4;S
VALENCA;491;EPS;CORTE;2022-08-09;16;16;0;3;N
JACOBINA;263;STC;CORTE;2022-08-09;16;16;0;3;N
FEIRA DE SANTANA NORTE;113;EPS;RECORTE;2022-08-10;57;53;4;4;N
VITORIA DA CONQUISTA;504;STC;CORTE;2022-08-18;11;10;1;5;N
LUIS EDUARDO MAGALHAES;323;EPS;CORTE;2022-08-12;7;7;0;6;N
LAURO DE FREITAS;296;EPS;RECORTE;2022-08-04;20;14;6;5;N
CAMACARI;55;STC;CORTE;2022-08-02;14;14;0;3;S
ITABERABA;215;STC;CORTE;2022-08-19;21;21;0;6;N
ITABERABA;216;STC;CORTE;2022-08-05;41;41;0;6;S
IRECE;198;EPS;CORTE;2022-08-22;6;6;0;2;N
IBOTIRAMA;159;STC;CORTE;2022-08-22;16;14;2;2;N
LAURO DE FREITAS;294;EPS;DISJUNTOR;2022-08-10;15;12;3;4;N
PAULO AFONSO;340;EPS;CORTE;2022-08-18;8;7;1;5;N
CONCEICAO DO COITE;72;STC;CORTE;2022-08-11;10;10;0;5;N
IRECE;200;STC;CORTE;2022-08-12;7;7;0;6;N
POSTO DA MATA;385;STC;RECORTE;2022-08-08;19;14;5;2;N
ESPLANADA;78;EPS;CORTE;2022-08-12;14;14;0;6;N
VITORIA DA CONQUISTA;520;EPS;DISJUNTOR;2022-08-16;2;2;0;3;N
FEIRA DE SANTANA NORTE;117;EPS;BAIXA;2022-08-11;14;14;0;5;N
ESPLANADA;79;EPS;BAIXA;2022-08-24;3;3;0;4;N
TEIXEIRA DE FREITAS;475;EPS;BAIXA;2022-08-16;13;12;1;3;N
ITABUNA;227;STC;CORTE;2022-08-12;16;16;0;6;N
LUIS EDUARDO MAGALHAES;317;EPS;BAIXA;2022-08-11;10;2;8;5;N
JEQUIE;277;EPS;CORTE;2022-08-24;9;9;0;4;S
ITAPOAN;253;EPS;CORTE;2022-08-11;23;18;5;5;N
JACOBINA;261;EPS;CORTE;2022-08-19;8;8;0;6;N
JACOBINA;255;EPS;BAIXA;2022-08-18;4;4;0;5;N
SERRINHA;468;EPS;CORTE;2022-08-08;7;7;0;2;N
LIVRAMENTO DE NOSSA SENHORA;307;STC;RECORTE;2022-08-08;5;5;0;2;N
PORTO SEGURO;366;EPS;CORTE;2022-08-05;6;0;6;6;N
BARREIRAS;18;EPS;CORTE;2022-08-25;6;0;6;5;N
IRECE;210;STC;CORTE;2022-08-15;11;11;0;2;N
ITAPOAN;252;EPS;RECORTE;2022-08-22;70;61;9;2;S
FEIRA DE SANTANA SUL;125;EPS;CORTE;2022-08-03;14;14;0;4;N
TEIXEIRA DE FREITAS;469;EPS;CORTE;2022-08-15;9;8;1;2;N
SERRINHA;465;STC;CORTE;2022-08-09;11;10;1;3;N
SENHOR DO BONFIM;450;EPS;CORTE;2022-08-16;22;21;1;3;N
BARREIRAS;17;STC;CORTE;2022-08-02;10;10;0;3;N
REMANSO;394;STC;CORTE;2022-08-15;9;8;1;2;N
FEIRA DE SANTANA SUL;124;EPS;CORTE;2022-08-15;18;18;0;2;N
SEABRA;439;EPS;CORTE;2022-08-15;16;15;1;2;N
ITAPOAN;250;STC;CORTE;2022-08-12;19;14;5;6;N
ITAPOAN;252;EPS;RECORTE;2022-08-24;140;135;5;4;N
PIRAJA;355;EPS;CORTE;2022-08-09;17;16;1;3;N
SENHOR DO BONFIM;451;EPS;CORTE;2022-08-04;7;7;0;5;N
BRUMADO;44;EPS;DISJUNTOR;2022-08-04;5;4;1;5;N
VALENCA;491;EPS;RECORTE;2022-08-10;26;25;1;4;N
SERRINHA;463;EPS;CORTE;2022-08-19;6;5;1;6;N
POSTO DA MATA;383;EPS;BAIXA;2022-08-18;17;16;1;5;N
SENHOR DO BONFIM;451;STC;CORTE;2022-08-16;12;12;0;3;S
IPIAU;527;EPS;RECORTE;2022-08-03;8;8;0;4;N
BARREIRAS;20;STC;RECORTE;2022-08-16;15;11;4;3;N
EUNAPOLIS;88;EPS;CORTE;2022-08-19;8;8;0;6;N
LUIS EDUARDO MAGALHAES;319;STC;CORTE;2022-08-25;9;8;1;5;N
EUNAPOLIS;102;EPS;CORTE;2022-08-23;14;14;0;3;N
TEIXEIRA DE FREITAS;470;EPS;CORTE;2022-08-03;7;7;0;4;N
ITABUNA;236;STC;CORTE;2022-08-25;14;14;0;5;S
IRECE;195;EPS;CORTE;2022-08-09;14;13;1;3;N
GUANAMBI;153;STC;CORTE;2022-08-05;10;0;10;6;N
SEABRA;441;STC;CORTE;2022-08-05;6;0;6;6;N
VITORIA DA CONQUISTA;521;EPS;BAIXA;2022-08-22;5;0;5;2;N
CAMACARI;52;EPS;CORTE;2022-08-03;26;25;1;4;N
IRECE;205;EPS;CORTE;2022-08-12;13;13;0;6;N
VALENCA;497;STC;CORTE;2022-08-23;30;29;1;3;S
BOM JESUS DA LAPA;23;STC;CORTE;2022-08-19;16;16;0;6;N
SANTO AMARO;422;STC;CORTE;2022-08-19;42;40;2;6;N
SENHOR DO BONFIM;450;EPS;RECORTE;2022-08-17;11;11;0;4;N
FEIRA DE SANTANA SUL;125;EPS;RECORTE;2022-08-04;16;12;4;5;N
JUAZEIRO;291;STC;CORTE;2022-08-02;9;9;0;3;N
ITABUNA;172;EPS;CORTE;2022-08-22;17;17;0;2;N
SANTO AMARO;422;STC;CORTE;2022-08-17;40;40;0;4;S
ILHEUS;179;STC;RECORTE;2022-08-12;15;3;12;6;N
PITUBA;356;EPS;CORTE;2022-08-18;36;28;8;5;N
GRACA;130;EPS;CORTE;2022-08-18;63;59;4;5;N
IBOTIRAMA;164;EPS;CORTE;2022-08-22;7;7;0;2;N
RIBEIRA DO POMBAL;400;EPS;CORTE;2022-08-02;10;10;0;3;N
FEIRA DE SANTANA NORTE;107;EPS;CORTE;2022-08-09;91;87;4;3;N
TEIXEIRA DE FREITAS;470;EPS;RECORTE;2022-08-04;18;14;4;5;N
SEABRA;436;STC;CORTE;2022-08-16;11;11;0;3;N
JUAZEIRO;290;STC;CORTE;2022-08-12;7;7;0;6;S
IRECE;194;STC;DISJUNTOR;2022-08-16;13;13;0;3;S
ILHEUS;178;STC;DISJUNTOR;2022-08-04;20;20;0;5;S
PORTO SEGURO;376;STC;RECORTE;2022-08-23;21;18;3;3;N
ILHEUS;178;EPS;RECORTE;2022-08-10;7;7;0;4;N
PAULO AFONSO;332;EPS;CORTE;2022-08-16;8;8;0;3;N
GUANAMBI;148;EPS;CORTE;2022-08-02;7;7;0;3;N
ALAGOINHAS;4;STC;CORTE;2022-08-19;16;16;0;6;N
LAURO DE FREITAS;298;STC;CORTE;2022-08-16;5;5;0;3;S
IBOTIRAMA;166;STC;CORTE;2022-08-12;6;6;0;6;N
ITAPETINGA;244;EPS;RECORTE;2022-08-05;4;4;0;6;N
VITORIA DA CONQUISTA;525;STC;CORTE;2022-08-12;11;11;0;6;N
BRUMADO;38;STC;CORTE;2022-08-09;11;10;1;3;N
PAULO AFONSO;336;EPS;RECORTE;2022-08-16;5;3;2;3;S
PAULO AFONSO;325;EPS;BAIXA;2022-08-25;13;11;2;5;S
GRACA;132;EPS;BAIXA;2022-08-18;9;8;1;5;N
ILHEUS;178;STC;RECORTE;2022-08-24;21;21;0;4;N
CAMACARI;52;EPS;BAIXA;2022-08-25;16;15;1;5;S
RIBEIRA DO POMBAL;404;EPS;RECORTE;2022-08-04;7;7;0;5;N
SANTO ANTONIO DE JESUS;435;STC;RECORTE;2022-08-05;9;6;3;6;S
ILHEUS;178;STC;RECORTE;2022-08-22;8;7;1;2;S
POSTO DA MATA;385;EPS;CORTE;2022-08-18;14;14;0;5;N
ESPLANADA;83;EPS;CORTE;2022-08-24;7;7;0;4;S
JUAZEIRO;288;EPS;CORTE;2022-08-24;10;10;0;4;N
ITAPETINGA;241;STC;CORTE;2022-08-05;9;0;9;6;N
ALAGOINHAS;4;EPS;CORTE;2022-08-05;20;0;20;6;N
BOM JESUS DA LAPA;23;EPS;CORTE;2022-08-05;6;0;6;6;N
SANTO AMARO;422;EPS;CORTE;2022-08-05;30;0;30;6;N
FEIRA DE SANTANA SUL;122;STC;CORTE;2022-08-04;1;1;0;5;N
IRECE;195;STC;RECORTE;2022-08-24;21;19;2;4;N
SANTO AMARO;423;EPS;DISJUNTOR;2022-08-25;9;0;9;5;N
VALENCA;492;EPS;CORTE;2022-08-22;21;21;0;2;N
REMANSO;392;EPS;CORTE;2022-08-02;44;43;1;3;N
SANTO ANTONIO DE JESUS;426;EPS;CORTE;2022-08-02;6;6;0;3;N
CAMACARI;50;EPS;DISJUNTOR;2022-08-10;20;20;0;4;N
CAMACARI;52;EPS;RECORTE;2022-08-04;18;17;1;5;N
LUIS EDUARDO MAGALHAES;319;STC;CORTE;2022-08-02;11;11;0;3;N
PAULO AFONSO;344;STC;CORTE;2022-08-09;7;6;1;3;N
LUIS EDUARDO MAGALHAES;317;EPS;CORTE;2022-08-12;7;7;0;6;N
IPIAU;532;EPS;RECORTE;2022-08-17;8;8;0;4;N
EUNAPOLIS;99;EPS;RECORTE;2022-08-11;4;4;0;5;N
ITAPETINGA;237;STC;CORTE;2022-08-04;8;7;1;5;N
LIVRAMENTO DE NOSSA SENHORA;310;EPS;CORTE;2022-08-08;5;5;0;2;N
FEIRA DE SANTANA SUL;125;EPS;BAIXA;2022-08-04;7;4;3;5;N
FEIRA DE SANTANA NORTE;107;EPS;RECORTE;2022-08-10;80;75;5;4;N
SANTO ANTONIO DE JESUS;427;STC;CORTE;2022-08-04;16;16;0;5;N
SANTO ANTONIO DE JESUS;426;STC;CORTE;2022-08-16;13;13;0;3;N
SANTA MARIA DA VITORIA;536;EPS;CORTE;2022-08-18;2;2;0;5;N
ILHEUS;178;EPS;BAIXA;2022-08-10;5;5;0;4;N
FEIRA DE SANTANA NORTE;108;STC;RECORTE;2022-08-12;8;8;0;6;N
JUAZEIRO;290;STC;RECORTE;2022-08-15;16;14;2;2;N
PITUBA;358;STC;RECORTE;2022-08-09;21;6;15;3;N
PITUBA;357;STC;RECORTE;2022-08-19;7;4;3;6;S
FEIRA DE SANTANA SUL;121;STC;RECORTE;2022-08-17;1;1;0;4;N
RIBEIRA DO POMBAL;409;EPS;CORTE;2022-08-17;10;10;0;4;N
JUAZEIRO;285;STC;CORTE;2022-08-25;9;9;0;5;N
LIVRAMENTO DE NOSSA SENHORA;301;STC;RECORTE;2022-08-08;8;8;0;2;N
CONCEICAO DO COITE;65;EPS;CORTE;2022-08-09;7;7;0;3;N
PORTO SEGURO;360;EPS;CORTE;2022-08-05;8;0;8;6;N
EUNAPOLIS;99;STC;RECORTE;2022-08-25;14;7;7;5;N
GUANAMBI;142;EPS;CORTE;2022-08-25;4;0;4;5;N
RIBEIRA DO POMBAL;405;EPS;CORTE;2022-08-16;10;9;1;3;N
SEABRA;442;STC;CORTE;2022-08-18;19;17;2;5;N
RIBEIRA DO POMBAL;409;EPS;RECORTE;2022-08-16;20;18;2;3;S
ITABUNA;231;STC;CORTE;2022-08-15;16;16;0;2;N
SERRINHA;459;STC;CORTE;2022-08-09;11;11;0;3;N
REMANSO;392;EPS;RECORTE;2022-08-03;8;8;0;4;N
RIBEIRA DO POMBAL;409;EPS;RECORTE;2022-08-18;11;11;0;5;N
VITORIA DA CONQUISTA;521;EPS;CORTE;2022-08-23;15;15;0;3;N
BRUMADO;43;STC;CORTE;2022-08-23;11;10;1;3;N
VITORIA DA CONQUISTA;507;EPS;CORTE;2022-08-19;14;14;0;6;N
SERRINHA;457;EPS;CORTE;2022-08-19;6;5;1;6;N
SANTO ANTONIO DE JESUS;427;STC;RECORTE;2022-08-03;7;4;3;4;S
JEQUIE;273;EPS;RECORTE;2022-08-03;9;9;0;4;N
CONCEICAO DO COITE;75;EPS;CORTE;2022-08-12;7;6;1;6;N
SENHOR DO BONFIM;445;EPS;CORTE;2022-08-04;7;7;0;5;N
ITABUNA;235;STC;RECORTE;2022-08-17;16;9;7;4;N
BOM JESUS DA LAPA;28;EPS;CORTE;2022-08-19;5;5;0;6;N
FEIRA DE SANTANA NORTE;113;EPS;CORTE;2022-08-11;15;13;2;5;N
TEIXEIRA DE FREITAS;477;STC;RECORTE;2022-08-08;17;17;0;2;N
LUIS EDUARDO MAGALHAES;313;EPS;CORTE;2022-08-11;7;7;0;5;N
ITAPOAN;251;STC;CORTE;2022-08-25;19;19;0;5;N
EUNAPOLIS;105;EPS;CORTE;2022-08-12;12;12;0;6;N
CANDEIAS;58;EPS;DISJUNTOR;2022-08-09;15;15;0;3;N
ITABUNA;230;STC;CORTE;2022-08-25;14;14;0;5;S
LAURO DE FREITAS;296;EPS;CORTE;2022-08-05;19;0;19;6;N
SANTO ANTONIO DE JESUS;431;EPS;CORTE;2022-08-16;4;4;0;3;N
SERRINHA;468;EPS;CORTE;2022-08-10;10;9;1;4;N
POSTO DA MATA;379;EPS;CORTE;2022-08-18;7;7;0;5;N
FEIRA DE SANTANA NORTE;108;EPS;CORTE;2022-08-22;16;15;1;2;N
IBOTIRAMA;160;STC;CORTE;2022-08-12;8;8;0;6;N
SANTO ANTONIO DE JESUS;9;STC;CORTE;2022-08-18;13;13;0;5;N
GRACA;134;STC;CORTE;2022-08-09;17;17;0;3;N
LAURO DE FREITAS;295;EPS;RECORTE;2022-08-18;11;9;2;5;N
ITAPETINGA;245;EPS;RECORTE;2022-08-18;13;13;0;5;N
VITORIA DA CONQUISTA;518;EPS;CORTE;2022-08-10;30;30;0;4;N
PAULO AFONSO;403;EPS;RECORTE;2022-08-24;2;2;0;4;N
GRACA;132;EPS;CORTE;2022-08-19;21;17;4;6;N
JACOBINA;262;EPS;CORTE;2022-08-09;9;8;1;3;N
CAMACARI;53;EPS;CORTE;2022-08-16;21;19;2;3;N
GUANAMBI;142;EPS;CORTE;2022-08-02;7;6;1;3;N
FEIRA DE SANTANA NORTE;112;EPS;RECORTE;2022-08-24;4;4;0;4;N
IRECE;199;EPS;CORTE;2022-08-12;13;13;0;6;N
VALENCA;493;EPS;BAIXA;2022-08-11;17;8;9;5;N
JACOBINA;263;STC;CORTE;2022-08-11;16;15;1;5;N
PIRAJA;350;STC;RECORTE;2022-08-12;17;6;11;6;N
VALENCA;491;EPS;CORTE;2022-08-11;14;13;1;5;N
SANTO ANTONIO DE JESUS;435;STC;DISJUNTOR;2022-08-12;15;15;0;6;S
BOM JESUS DA LAPA;29;STC;RECORTE;2022-08-22;13;12;1;2;N
